x,y,serving_cell,rsrp_serving,rsrp_0,rsrp_1,rsrp_2,rsrp_3,rsrp_4,rsrp_5,rsrp_6,rsrp_7,rsrp_8,rsrp_9,rsrp_10,rsrp_11,rsrp_12,rsrp_13,rsrp_14,rsrp_15,rsrp_16,rsrp_17,rsrp_18
2587.6899759862,3808.168496404711,6,-76.5437884066717,-103.74765843298854,-95.45572090999329,-95.54706087664403,-103.6411358338236,-105.06722499655586,-74.66581097847163,-76.5437884066717,-110.07233836729472,-93.2315230847826,-97.08867915540336,-96.87905356976677,-85.51305462305602,-106.83040129619324,-105.9714373651028,-101.14574831740164,-88.56952210960992,-116.69090855032856,-97.79605177188493,-105.09938375680748
2589.272388023789,3805.5393301738627,6,-82.71524575065214,-96.28248497581043,-91.09184592660401,-98.5362102826254,-107.7412417462888,-107.79807065227921,-76.61338696034247,-82.71524575065214,-108.49929382745285,-96.05108171853365,-94.80614836659647,-101.82457367443658,-83.00412162927188,-110.98474676411789,-99.20644755556093,-91.16001107990992,-95.44235260073421,-113.46355714768795,-104.55714955630604,-110.56555172226301
2590.8548000614214,3802.9101639431865,6,-84.0813169609186,-91.79983849746218,-92.94054960170408,-93.08834824704572,-104.8756927216656,-109.23866305862224,-84.28540336217152,-84.0813169609186,-105.55648312277332,-97.22041962636187,-94.49176218525626,-102.33686802777322,-83.10640390052134,-108.46294214835675,-99.70567604472772,-94.22270169141741,-95.0745288751489,-111.91988319977365,-108.66422272977938,-114.80579484252135
2592.42821274303,3800.2756688289896,6,-82.07790453262419,-91.78835639419975,-97.43350380001053,-90.85060533851892,-101.04103439832556,-97.03057636949873,-88.39103725134049,-82.07790453262419,-107.67613574534334,-100.4357681181547,-94.57415021298405,-97.75593178944804,-78.83046244878854,-108.4475725864408,-100.81735613708113,-97.1717782767751,-98.25609391212728,-112.28009970009356,-108.37666722912518,-112.87330569290512
2593.972751887951,3797.624076523364,6,-84.91199081090285,-94.98181230137847,-103.41662020845996,-91.56788335878598,-105.85803363603289,-98.7433537827488,-94.54778839287435,-84.91199081090285,-103.03954996703733,-100.63788024554765,-98.08232149866588,-91.381127696185,-84.53969797826602,-109.03935573727553,-100.94404617438178,-105.60977540932849,-98.72504033290565,-110.58101925356088,-105.55588176713673,-112.43477715397636
2595.5172910328283,3794.972484217738,6,-81.85185351743708,-100.74624369777456,-100.41435439558104,-87.78464220815103,-109.0025415954097,-93.41971141882624,-92.96309446952375,-81.85185351743708,-98.94344240239525,-97.86040028344665,-104.18981470401621,-88.17961527829003,-89.6457618468686,-101.67630843349359,-101.50507114524713,-102.03512216755281,-97.87452972118987,-111.01156200673454,-108.40003401358281,-111.4161021739672
2597.061830177749,3792.320891912112,6,-77.04529927092449,-101.8847917440976,-101.44487788122396,-81.39392481700072,-110.63583487413928,-96.57124566974502,-91.30176214166994,-77.04529927092449,-95.83434663573834,-99.858040718991,-100.28354600426083,-88.97264248340996,-93.51075476556392,-105.45115011694826,-102.21207854825592,-98.39848453661516,-96.62772754110037,-107.94414087282141,-107.96273111810048,-105.52299023485301
2598.606369322627,3789.669299606486,6,-77.06921608758083,-108.9554606923595,-101.19408597709561,-82.22780436602902,-107.63967924570021,-92.31039466947054,-91.61273057100196,-77.06921608758083,-92.13219627073454,-104.68465053868573,-91.15684783058829,-90.40803963863513,-94.59770884167894,-101.58515588113823,-105.5470276892813,-98.62716367282303,-100.4944509269291,-107.38166452511119,-108.75775280911728,-103.71630641442177
2600.150908467547,3787.017707300689,6,-74.66241545099433,-109.30141384400603,-95.70625598568543,-83.39880031178814,-106.73473077522895,-88.48188737346753,-92.7268809379059,-74.66241545099433,-96.36782155481748,-101.01886067938871,-93.21959406081953,-92.2638844885412,-93.16064675076923,-104.65627962131556,-108.3151468768448,-94.24978226739978,-98.50076653629593,-107.0457176192827,-103.49249526760877,-98.50940956265003
2601.695447612425,3784.3661149950635,6,-83.19240162866681,-109.85664152730763,-104.14975785907266,-95.51484885284526,-110.70117337871953,-90.56374904255898,-92.2762073062305,-83.19240162866681,-97.42983013752402,-98.74708364396366,-87.898890489668,-102.08867103862255,-93.85330848273291,-104.76731829764547,-106.97734641057761,-102.77073554713935,-101.27569842016433,-101.82747055454378,-102.9925971678295,-97.02174585977633
2603.239986757346,3781.7145226894377,6,-87.5466936375293,-102.83361616417345,-105.95601444804377,-91.35748586691865,-115.11343159971027,-87.73571638343559,-94.29117934527176,-87.5466936375293,-99.15677386685573,-99.68319730934992,-87.03126374029695,-99.33706076066191,-97.53262693839307,-106.9514164613431,-105.15721729059999,-102.48107907578772,-96.33322037099364,-104.74284926637625,-100.11876456862964,-97.96074511333417
2604.702880510593,3779.018581539632,6,-86.53173090120625,-105.65399663867309,-99.54001463451146,-93.37232130879937,-111.26564772131862,-89.20115188119907,-101.35552463744457,-86.53173090120625,-100.14480359238812,-95.04160256498147,-85.02680365904736,-100.05014686471424,-98.17450737173033,-110.25173242991576,-101.3527118954871,-99.17930337460204,-93.68330735042917,-101.2713369391544,-102.39548374654831,-101.42304235758691
2606.086461880258,3776.2795588088757,6,-85.90546035701479,-101.29736839646588,-102.31233139025564,-88.73332541360037,-112.29465002322844,-96.21491294482682,-103.23078286544373,-85.90546035701479,-96.99659962583709,-96.9064103007425,-84.89808261958092,-100.38672294284378,-93.01862108955292,-104.18841727161266,-105.00809660566829,-105.37850062220522,-98.46215468951883,-107.92521770685015,-104.6313359616402,-95.59988568965797
2607.4700432499226,3773.540536078291,6,-89.54222148336406,-100.62339529189258,-104.43956780920074,-94.28093136160075,-111.00284890613548,-96.41557708367911,-99.77343871783803,-89.54222148336406,-101.74553673146961,-99.25334532905906,-88.89664881322258,-100.04060103315055,-97.33218834654798,-106.63413559000992,-111.09186871924246,-106.4892764655772,-98.9124950644459,-107.3907337090442,-107.51235588715805,-99.45597087845036
2608.8536246195445,3770.8015133475346,6,-92.10554719956745,-104.2989448985692,-99.01206012070848,-91.00428270694556,-114.40649584850253,-101.17286947561927,-100.08542687830592,-92.10554719956745,-101.79749930726916,-102.13316164220646,-91.24396683276986,-96.44875259650297,-95.38589872469629,-103.81085496961485,-110.31871010534063,-105.1498470038186,-88.81557143016538,-107.22242707760797,-106.03319424102231,-101.24809975642492
2609.3346919672913,3767.930528563014,6,-87.62284520272979,-108.75308952789217,-102.93110477124503,-91.50219399968385,-110.7898922536381,-99.57230285305842,-93.98844544309246,-87.62284520272979,-101.32756391547541,-101.13216600816506,-83.92309918376301,-97.75497490160052,-90.52416252362278,-97.83407932402403,-118.25546382433694,-108.24292950879563,-87.85009166298721,-104.28953286407118,-104.19172389268856,-102.9666474000868
2607.395105197362,3765.555603416419,6,-81.44221044461216,-104.56147543772335,-98.43762312774163,-95.70840079986107,-113.12113706541169,-96.26599833380514,-90.98374913281474,-81.44221044461216,-102.9356496564933,-105.86729418424065,-79.90297921166464,-100.22976149714208,-85.76229909057783,-104.73796390400817,-120.18965341707403,-105.9069164399637,-87.63900041934433,-104.56749304975568,-108.41249771804524,-102.81210524015587
2604.9181973551354,3763.7441204696215,6,-77.31359763038405,-98.89323388155672,-98.15591749349201,-100.32465366608798,-116.35264806675568,-102.35198840175848,-86.70061669537603,-77.31359763038405,-105.0036490886692,-104.95778967235165,-82.63815496688811,-98.64524449911224,-89.65970164248665,-107.5803199703488,-120.60713035604529,-100.95846776247168,-91.5936313944021,-98.55644869568377,-111.51408421656227,-106.1418189977229
2602.4412895129512,3761.932637522652,6,-75.99234667126156,-98.00866891317222,-101.57650440760425,-102.04405045214475,-120.00527970448795,-104.83246871857938,-86.18201899760068,-75.99234667126156,-102.29471666324282,-107.31335514314063,-85.41026797384973,-99.7372759024463,-89.27028326302162,-106.38729652983318,-115.1470021123939,-101.15165658497283,-83.99615643284466,-101.64646789641931,-109.95810836454729,-104.02602448081164
2599.964381670725,3760.1211545758542,6,-81.80982841756808,-97.6695509378821,-96.84762750756592,-96.14709781628201,-115.22105142676244,-100.39992887589497,-87.12938895733593,-81.80982841756808,-99.93213881491772,-109.30333731178146,-86.89226876684413,-101.06815959005009,-91.51911904869472,-111.00777727195182,-108.57574435297289,-101.95201436287907,-90.2343845453276,-106.96882390282035,-109.2698994800765,-103.14426220351478
2597.4874738285407,3758.3096716288846,6,-82.24088486239637,-94.28467253377153,-97.11116410792467,-95.84977634572931,-113.85682841543239,-102.06003453942435,-91.92702125380413,-82.24088486239637,-99.03999312282846,-106.02723550648417,-90.00702844247047,-100.33739369207291,-83.21693933248201,-116.64684425188665,-108.41258601194023,-101.36008060809677,-87.85623522885352,-104.89535802114018,-112.20553848028885,-102.20854762691326
2595.0105659863143,3756.498188682087,6,-84.72429072574218,-94.49649393907102,-100.19177104734055,-99.30716871166912,-114.50034471397157,-92.02258327305908,-95.32410925147158,-84.72429072574218,-100.20972840683602,-109.61156868791366,-90.6113394190771,-97.50783022827656,-90.85654061064318,-115.09324076908347,-104.11705081504594,-101.26877360455303,-87.44649513813027,-106.17645646429862,-111.38560045489061,-104.37859719289668
2592.5336581440874,3754.686705735289,6,-82.76666744143789,-101.159007757326,-102.93441652453609,-102.73769681481535,-112.80331783715364,-94.79064411450607,-95.9667052418485,-82.76666744143789,-106.10238902670939,-101.72300253437534,-89.71855958333364,-97.56332716345712,-95.59976501592261,-112.24795811806479,-100.61122778622824,-96.33924237686965,-94.21717960766941,-107.18579588843963,-109.59579112949196,-105.04267865561836
2590.056750301904,3752.8752227883197,6,-85.53800054879208,-100.5506093917662,-102.75123831363143,-97.78376950688352,-117.29589225444354,-92.75225947782135,-105.19822793836022,-85.53800054879208,-109.80009179694152,-97.10136484560029,-86.9389609371698,-99.92236525944035,-88.75485441806765,-113.35034321581772,-102.9182588596526,-101.64653078417699,-95.45070701769696,-111.49242233820912,-110.48683724426499,-106.39969144040413
2587.441118997505,3751.3307107959345,6,-80.31806785109508,-101.50342270081296,-100.56689737909066,-95.83764301569104,-119.76986442274716,-89.97858131157275,-96.75091423229237,-80.31806785109508,-102.42735274346212,-97.7040637617121,-83.39306765443692,-95.54985708030574,-91.16561433913103,-113.83014635551221,-101.86745238642892,-104.67156873327812,-94.11921967617799,-112.03255292693066,-110.03220710681587,-107.36844786591544
2585.1144742403944,3750.1574802483756,6,-79.2725932086153,-101.92941402879647,-98.59325752603189,-103.79578183876953,-117.62936235593916,-90.65178178703279,-92.79714049672118,-79.2725932086153,-98.80625309178842,-99.48361123245998,-84.81068102708853,-95.92346730973216,-95.526449054484,-109.58961026809138,-102.47213378815266,-103.53927801468879,-101.35776822253136,-106.3977195508342,-105.90434160246049,-102.45287793813645
2586.8911811053267,3747.655509896556,6,-78.79814519453035,-106.0969298095265,-99.76434390168218,-102.11958789444598,-119.48528264392743,-87.70287039613747,-94.99449355056765,-78.79814519453035,-106.95357186791688,-98.13868330651789,-85.29588299460661,-97.15913309404725,-97.14810809845595,-110.86026440205215,-100.6608985506995,-105.71565855992829,-104.76823466161599,-108.8846308878996,-102.14206181062266,-105.23769195594174
2588.667887970216,3745.1535395445653,6,-73.18322653798437,-106.2625960664963,-101.10291364673125,-106.14858135191687,-116.5418409062846,-93.51787493449827,-90.8342906355187,-73.18322653798437,-107.75057880818692,-100.60465127127472,-87.73123666754374,-95.35492309779328,-89.47071475968549,-112.81002462904145,-110.65284774413196,-102.90504727919036,-103.48638599757581,-105.6544187935304,-105.3136038973851,-99.12377117969076
2590.444594835105,3742.651569192746,6,-76.22125951793727,-104.6522758216218,-101.9517667576149,-108.45658475317776,-122.05750982201562,-93.6441149005682,-94.13380442402834,-76.22125951793727,-107.02949934519194,-99.71456341582213,-86.75889436452577,-92.607995748661,-94.1370355652041,-120.09933106497671,-110.60420685060876,-101.28024678577088,-103.9097173447443,-107.10800677836039,-103.91830658696612,-94.4899019243924
2592.221301699994,3740.149598840755,6,-75.87638669920679,-101.28012323330218,-100.73078698383813,-107.01863923973443,-118.34123385147824,-94.64590492474275,-86.97879398470032,-75.87638669920679,-107.77408368515883,-107.43051092151966,-80.52850045663891,-88.48294950106143,-93.80237717970408,-116.5367510485334,-117.718182982381,-101.50557183768018,-105.1396388525073,-113.99846733160614,-102.7539315416064,-89.72464311421754
2593.991894832116,3737.6433935349546,6,-77.74108254804048,-98.84208830553777,-88.09901025220417,-91.65873814580047,-120.6824585181416,-90.76476168720774,-83.21419644718657,-77.74108254804048,-108.28387899725546,-110.03536801569156,-88.45323423562319,-83.84997244728693,-87.98014392057637,-116.38841216301722,-116.9453598616894,-101.10608276861245,-102.40887708491539,-106.66379276899337,-104.44202537513408,-84.84314816330989
2595.1296379922796,3735.2210307843607,6,-77.78851273254192,-95.42399234678498,-95.49195437591396,-96.08066150593811,-119.17962693849515,-89.43376095154863,-81.16099234178543,-77.78851273254192,-99.94246317988528,-111.35775251416267,-94.54619989022457,-88.67635527590618,-88.12118450290292,-116.24557131439973,-120.68321959777975,-99.18730663255893,-109.41915788288134,-101.51764681585641,-104.76277428674291,-90.4510606592528
2592.541587264443,3733.5722323260356,6,-77.87291038951417,-99.37238128089359,-97.0201016169336,-96.97404331465428,-119.23528782324996,-92.67158449568889,-87.07736419464224,-77.87291038951417,-103.89631546105926,-111.0705609019044,-93.44414196193625,-88.05982648552794,-86.1215239532955,-112.14897264355291,-111.11498568439282,-102.98863339179509,-105.504355061966,-102.56487764818141,-102.33331301801505,-95.73006955992378
2589.953536536649,3731.923433867882,6,-75.46746559593856,-98.87097029830082,-98.12052967093946,-96.39988829627015,-111.12683554981676,-88.23493719381491,-84.18380647847444,-75.46746559593856,-101.09642960187671,-109.92031389504304,-98.14069289447573,-89.4041172536737,-91.0092660125016,-116.10233659630903,-108.59288299454539,-107.45485662985443,-104.5032415478208,-101.87123599366593,-101.99818428064904,-102.16666023007559
2587.3654858088557,3730.274635409557,6,-70.47197546343793,-102.42123526482813,-102.55957645409198,-100.16140483540858,-106.61643773126045,-92.63302865879055,-79.00942755346048,-70.47197546343793,-104.0864946585253,-112.48346236737729,-102.92875081642109,-85.20371572465913,-95.28300556203047,-116.44339907601196,-106.29588979879027,-107.14437000278951,-104.64737096180251,-99.39690957778404,-107.05207420672956,-100.69734007017044
