x,y,serving_cell,rsrp_serving,rsrp_0,rsrp_1,rsrp_2,rsrp_3,rsrp_4,rsrp_5,rsrp_6,rsrp_7,rsrp_8,rsrp_9,rsrp_10,rsrp_11,rsrp_12,rsrp_13,rsrp_14,rsrp_15,rsrp_16,rsrp_17,rsrp_18
2564.3268213917017,2878.1868573114443,10,-73.4746223197843,-108.13288262001936,-102.20246940625665,-96.5867382116308,-100.95830154771535,-84.85070387718548,-81.42921224488798,-86.98968002968147,-99.04856475141824,-106.4562036571049,-85.40559339316164,-73.4746223197843,-98.770120872044,-106.54340184163152,-101.75362338656959,-96.58568472404588,-100.90316760704432,-115.39183341934205,-102.32031440243365,-97.32507788305473
2561.8503903759492,2876.3747225619804,10,-72.79557719641144,-108.41082450076036,-106.63682570232146,-93.18414594770572,-100.91057538640253,-76.85990831933809,-84.11182517278922,-87.86576240184301,-104.90103871156559,-104.70492207339568,-83.96819197743825,-72.79557719641144,-102.30700277066335,-100.21353174598264,-106.21932665431399,-98.85881786069436,-99.98104559822379,-112.7267416393258,-102.98955839692815,-98.38088620011827
2559.3739593601967,2874.562587812688,10,-70.84223624375699,-107.12282336245235,-105.73736102674802,-100.29158075634486,-104.5913789943183,-80.08687458282833,-87.95631222058202,-95.02088496247063,-103.75026574119232,-99.52410768200028,-83.63627685601998,-70.84223624375699,-102.2469186161076,-104.2926215573899,-103.09799762499276,-97.65547116050823,-100.85477756042107,-111.38423226773206,-99.06237999173176,-96.54987793028991
2556.8975283444443,2872.750453063395,10,-75.88307730387962,-107.7116224788436,-98.65800175695824,-96.8930642233534,-100.33724191781033,-81.91092752501153,-82.93295188707683,-100.25104690998828,-104.3776331632112,-99.7472837026794,-85.31823190884128,-75.88307730387962,-98.18975888292427,-99.31535575591529,-98.33579210019829,-93.71727544039899,-104.48868724740532,-113.0346512389056,-99.48658197647363,-99.51544697311775
2554.4210973286913,2870.9383183141026,10,-76.8165937611941,-108.76877251185307,-93.8845134327937,-101.98320651743936,-101.54404367271262,-84.65396734187198,-83.25549278600975,-105.30715573250103,-107.29467177187628,-97.63214995240672,-83.26914647973975,-76.8165937611941,-97.88887106071792,-100.12423403851203,-92.90405258391152,-88.2323123853313,-102.72715503921593,-107.63515072960895,-101.69521140297955,-94.22460211310097
2551.944638383071,2869.12622174631,10,-78.50839562507016,-106.7266780910988,-95.97666702799204,-99.46225898360134,-101.93054588724348,-86.65500193594211,-85.04956190272411,-100.69938941291394,-111.65582666921351,-89.09327223607582,-81.36025991817786,-78.50839562507016,-89.32826896341776,-92.37344787841154,-99.97523399668543,-82.02497139167414,-107.12461354902626,-101.37686173120491,-102.2032051936228,-93.32285972101184
2549.467610093625,2867.3149035029383,10,-84.88826029489535,-99.74641774965161,-98.16459378698349,-101.2824975369244,-95.50989692432124,-83.35590194475681,-83.47910241855384,-103.03835129796607,-104.81024690411783,-89.70968076501558,-78.1316569942759,-84.88826029489535,-87.03796143353976,-93.67284227151637,-104.46181846958163,-83.39487034140411,-103.85752449946031,-101.2692101789762,-99.89032325741121,-95.12242395924926
2546.9905818041366,2865.5035852595665,10,-85.83321353250868,-98.13938789399218,-101.33540167006367,-101.79902044573625,-92.47766126916926,-84.83547801425235,-89.08247171802364,-106.12509948008251,-102.93354945947806,-94.0157324770143,-82.3439690755695,-85.83321353250868,-93.88732268549481,-92.6439860485828,-101.79225507172856,-86.47116138265814,-105.48127526438272,-101.3363921416991,-98.96702910961636,-97.23274997002275
2544.5135535146483,2863.6922670163663,10,-81.7199938990491,-100.68110663339625,-102.58948080899695,-95.30279590936335,-101.87055592369143,-91.12497434317119,-93.80507419561442,-102.7038620893484,-107.01577644928325,-99.08018607996183,-82.35810554587053,-81.7199938990491,-99.1165664502029,-90.39447527716598,-101.29566721031668,-86.94810540699757,-105.61073471624911,-99.00590334308154,-101.39974901586865,-97.68500404237072
2542.03656823947,2861.8808899647706,10,-82.44108870898177,-105.34432822390451,-99.38179062177097,-98.81956544162823,-100.26632007540411,-95.2321114577494,-90.79601524867674,-100.23971768418195,-105.66337784426271,-102.16034913913279,-86.9169985035808,-82.44108870898177,-97.82447635612498,-101.55263841265625,-94.52774445520002,-92.57493203276503,-104.75374858598119,-101.23693313930494,-107.16629991039314,-98.97729260376337
2539.559980623102,2860.068969242412,10,-79.64039258181104,-104.77563491397997,-104.94075871802784,-102.14899528529571,-95.46119012972618,-101.11568342338113,-97.09837147225205,-95.64411362269936,-109.44174247868051,-102.81275054140345,-89.79485620856163,-79.64039258181104,-97.18005699629093,-98.07637948907941,-96.62867572548991,-88.32663316360922,-104.48188387696993,-102.66308194636592,-107.2304723686023,-93.4947862473309
2537.083393006734,2858.2570485200536,10,-81.82067793065899,-103.57222854137406,-102.91852662649299,-103.38619723124293,-96.89509685237167,-94.53083426486565,-101.40058735910904,-99.8058083696712,-112.9159656527293,-105.31267503680792,-85.63695609981473,-81.82067793065899,-95.6639208127374,-97.52886143588142,-96.42111656892847,-89.14806481968607,-107.89745795842796,-101.45019502124768,-113.82646887324093,-95.90379352753358
2534.606805390366,2856.445127797695,10,-88.00245110656762,-100.02183164908328,-110.09792771980338,-102.28038416966965,-94.45426802516558,-93.01572072005855,-100.91588093715251,-98.60306522383715,-109.2416111364389,-104.84132106814958,-80.85143777243535,-88.00245110656762,-96.4614670534744,-102.95061247669904,-89.82142057052022,-92.9755413898087,-105.50977226363398,-100.96526316434047,-111.95687089759029,-94.76442817515047
2532.130217773998,2854.6332070753365,10,-85.7865867557123,-98.56067990477779,-104.85623866146881,-106.94041492741783,-102.61782895648734,-92.86712273212451,-98.72847894082632,-94.92367840649632,-111.66475390441516,-101.3308954112096,-86.55799393711705,-85.7865867557123,-95.68031699283362,-105.7922988331812,-95.08476789714764,-93.3744507451906,-103.59472723374448,-105.97793037206891,-110.00873211579618,-93.06027744278518
2529.653630157673,2852.821286352978,10,-90.14186575765403,-96.28960854016532,-101.53517602796725,-109.3370596533501,-103.97120060381008,-92.99566488883875,-101.29326794903243,-96.3957440136389,-110.31588365168739,-102.98181217628783,-85.61030424247384,-90.14186575765403,-94.44419065126851,-105.61089523513824,-92.13797038856215,-93.35439177199264,-99.39609875093747,-111.16205789924706,-110.37781281398998,-99.3231786770887
2527.177042541305,2851.0093656306194,10,-90.06820502114486,-102.4593344428462,-101.32496721994684,-112.61786564563911,-101.36466904452328,-95.25612857635542,-106.6779561675673,-95.43853351344472,-106.8859593527906,-102.13424586364437,-81.62776120174347,-90.06820502114486,-93.31090846998177,-105.57185202221157,-98.16511685163984,-92.52283741584202,-98.79172935213138,-113.5142896969157,-104.68136762856169,-99.95024018637598
2524.7004549249373,2849.197444908261,10,-92.8719307750644,-96.83340808001415,-98.78446059039938,-111.9620446772412,-100.52087369243523,-95.42437197962099,-103.417682133395,-96.46355401930418,-107.8160860699007,-99.66395476350395,-78.77540067693482,-92.8719307750644,-95.58166637335749,-101.55143244133014,-97.2720351122739,-87.1926481778264,-105.87987058057988,-104.74728504210424,-105.13418617221697,-96.74045244497525
2522.2238673085694,2847.385524186074,9,-79.61408345848527,-103.48827055426639,-94.61165643454828,-101.83644672714853,-105.71092405728152,-95.51214130995184,-100.57597020509023,-93.39859399278899,-108.178074792338,-96.38679895652852,-79.61408345848527,-90.43969743675297,-97.65142125416324,-99.70413558748244,-99.40236141294815,-88.1223153677598,-106.16359506010903,-101.11604756397678,-104.32028041785162,-100.83280171832835
2519.747279692201,2845.5736034637152,9,-88.43705221536605,-104.47275064793342,-99.75532261345666,-94.79579705466516,-101.75680524684664,-92.42084681380376,-101.55317591978364,-93.89688577813016,-111.69776923503441,-94.55643466530069,-88.43705221536605,-87.63922506235346,-93.98679788645167,-102.32775093857131,-101.98998057829715,-86.45659667150348,-100.96899517933689,-104.74007220523805,-105.06442242592742,-101.998978559344
2517.2706920758765,2843.7616827413567,9,-93.32566001073091,-100.98916160830034,-96.49218540581482,-98.07020352383466,-100.04835667216327,-94.88997332955816,-100.55832469130107,-98.56240095061226,-108.9806987476888,-95.73553967518356,-93.32566001073091,-85.33611207550105,-92.71951973571377,-106.02630570625331,-98.08660557012078,-89.5225514729322,-99.43819174552071,-109.62671787117687,-101.86395401204443,-104.0246201787206
2514.794104459508,2841.949762018998,9,-89.32480340656424,-100.37953387467778,-97.74888569342647,-97.31110558130803,-101.07338592893342,-95.54621950881378,-97.93110502502799,-101.62975980241866,-110.24021269910591,-103.56636324666127,-89.32480340656424,-89.36435702323104,-94.64628937434028,-103.90861496476187,-104.60176595423228,-91.95089854809954,-100.12452591564183,-118.93525128551089,-102.41136628434,-106.96261896865697
2514.110308011403,2839.869575251242,9,-88.06858407350306,-105.36822035102934,-95.10756013387845,-97.66386553232799,-101.94921504305772,-95.1588239346268,-95.01187612587286,-98.77059626801514,-107.33455405605518,-106.70049222086953,-88.06858407350306,-96.48227208285479,-99.3166714866876,-107.29720741819185,-105.50343794407274,-89.72712066125673,-106.47063126052973,-117.37578315426353,-99.03129877067904,-105.8535124088637
